id,title,description,availability,condition,price,link,image_link,brand,item_group_id,address,availability_circle_origin,availability_circle_radius,availability_postal_codes
4,"Espresso","Café concentrado e intenso.",in stock,new,5000 COP,"https://tradicional-coffee.shop/menu#prod-4","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
5,"Café Irlandés","Doble espresso y whisky.",in stock,new,10000 COP,"https://tradicional-coffee.shop/menu#prod-5","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
6,"Café Moka","Espresso, chocolate, leche cremada y canela.",in stock,new,9000 COP,"https://tradicional-coffee.shop/menu#prod-6","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
7,"Americano","Espresso sencillo con agua.",in stock,new,3500 COP,"https://tradicional-coffee.shop/menu#prod-7","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
8,"Latte","Espresso y leche cremada.",in stock,new,5000 COP,"https://tradicional-coffee.shop/menu#prod-8","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","latte","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
9,"Latte pequeño","Versión reducida de nuestro Latte clásico.",in stock,new,4000 COP,"https://tradicional-coffee.shop/menu#prod-9","https://tradicional-coffee.shop/images/latte-pequeno.webp","Tradicional Coffee","latte","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
10,"Cappuccino Tradicional","1 espresso sencillo y leche cremada.",in stock,new,5000 COP,"https://tradicional-coffee.shop/menu#prod-10","https://tradicional-coffee.shop/images/capuccino.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
11,"Cappuccino Especial","1 espresso doble y leche cremada, con chantilly.",in stock,new,7000 COP,"https://tradicional-coffee.shop/menu#prod-11","https://tradicional-coffee.shop/images/capuccino-especial.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
12,"Cappuccino con licor","Expresso, leche cremada y el licor de su preferencia.",in stock,new,9000 COP,"https://tradicional-coffee.shop/menu#prod-12","https://tradicional-coffee.shop/images/capuccino.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
13,"Cappuccino con marshmallow","Expresso, leche cremada, crema chantilly y marshmallow.",in stock,new,9000 COP,"https://tradicional-coffee.shop/menu#prod-13","https://tradicional-coffee.shop/images/marshmallow.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
14,"Americano frío","Expresso doble, agua y hielo.",in stock,new,5000 COP,"https://tradicional-coffee.shop/menu#prod-14","https://tradicional-coffee.shop/images/americano-frio.webp","Tradicional Coffee","cold","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
15,"Latte frío","Expresso sencillo, leche y hielo.",in stock,new,8000 COP,"https://tradicional-coffee.shop/menu#prod-15","https://tradicional-coffee.shop/images/latte-frio.webp","Tradicional Coffee","latte","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
16,"Hielato","Leche condensada, espresso y leche espumada.",in stock,new,8000 COP,"https://tradicional-coffee.shop/menu#prod-16","https://tradicional-coffee.shop/images/hielato.webp","Tradicional Coffee","cold","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
17,"Aguapanela","Tradicional y refrescante.",in stock,new,2000 COP,"https://tradicional-coffee.shop/menu#prod-17","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
18,"Aguapanela con leche","Aguapanela cremosa.",in stock,new,3500 COP,"https://tradicional-coffee.shop/menu#prod-18","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
19,"Jugo natural en agua","Fruta natural del día.",in stock,new,6000 COP,"https://tradicional-coffee.shop/menu#prod-19","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","cold","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
